"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
487026,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","IPapyrusListener / org.eclipse.papyrus.infra.core.modelListener not notified by di or notation model","2016-02-02 11:43:03"
487489,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Model Explorer] [Facet] Dependency relationships in Model Explorer should be nested to aid readability (Simple UML Facet)","2020-04-09 09:56:03"
487815,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[releng] new pom architecture","2018-06-01 08:27:11"
488457,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Feature] Transfer values when changing stereotypeapplication within same inheritance hierarchy","2016-02-25 07:27:05"
489506,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[UMLValidation] Application of Stereotype having multiple extensions with isRequired=true fails validation","2017-08-02 13:21:12"
489542,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","RuntimeException below PackageExplorerContentProvider$4.run","2016-03-14 09:32:23"
489701,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[ProfileDiagram][UMLValidation] Validation for wrong extension multiplicity","2018-09-14 07:17:05"
490568,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[developer] problem of compilation of oep.def promotion of developer features","2016-04-07 07:24:59"
492126,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[CDO] Papyrus IModel.save() should offer possibility to pass in an IProgressMonitor","2016-05-04 17:29:22"
493344,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profiles] Problem with stereotype property (tagged value) from imported package","2017-09-27 09:21:28"
493417,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[ALL DIAGRAMS] Missing check on the thread UI before executing property changes","2016-05-11 08:05:18"
496169,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Cannot reorient the endpoint of a Dependency not owned by a package.","2016-06-15 08:06:22"
506054,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ClassCastException in PapyrusContentProvider$2.run","2016-10-17 04:31:01"
506413,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","NullPointerException below DelegatingObservable.fireEvent (thrown in DecoratingObservableValue.setValue)","2017-06-20 10:16:12"
506750,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","NamedElement element names shall be configurable","2016-11-15 04:33:48"
507588,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Usability][Workbench] refactor the Papyrus menus and popups","2017-08-07 09:02:58"
509201,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[papyrus] [releng] The jarsigner dependency should only be resolved when the profile is activated","2016-12-14 03:55:34"
509398,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Palettes] Custom Palette - could not find entry createCombinedFragmentTool","2017-08-03 05:16:42"
509437,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[UMLPropertiesView] NPE in property dialog for setting stereotype's attributes","2017-08-07 10:38:07"
509556,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[OCL] OCL Console statement w/ select( oclIsKindOf(xx) ) causes NPE and UnsupportedOperationException if Package contains Enumeration elements.","2017-08-02 13:11:18"
509906,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[quality]PAGE_LIST is deprecated","2017-01-04 03:02:07"
509957,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[NewChild][userxp] refactoring newchild menu","2017-01-05 04:07:30"
510324,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","StereotypeElementListener fails to deliver undoRedoNotifications on rollback","2017-01-11 16:53:46"
510584,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[releng] problem of management in target platform","2017-01-17 09:50:26"
511305,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profiles] wrong default value generated in ecore model for LiteralUnlimitedNatural","2017-08-07 11:34:36"
512139,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profiles] Multiple Inheritance in UML Profile","2017-08-07 10:36:29"
516241,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Guava :java.lang.NoSuchMethodError","2018-06-01 09:41:17"
518948,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Releng] RCP installation experience","2018-06-04 05:03:02"
520678,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[releng] no reason to have a link on a maven repo on HIPP","2017-08-08 07:58:23"
521273,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Internationalization] NPE in InternationalizationModelResource.createModel at line 466","2017-10-22 12:47:54"
521474,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[userxp] refactor the menu of Sash Windows Editor","2017-08-28 10:36:42"
521478,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[xp] split the example feature into two one for developer and one for user","2017-08-28 11:01:26"
521981,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[releng] pom naming and version convention","2017-09-07 05:25:44"
522145,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[General] use project specific preferences to enhance code quality","2017-09-18 08:10:18"
522280,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ComponentRealization are incorrectly stored in supplier component","2017-09-14 06:11:09"
526853,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","package import always imports all packages of a model","2017-11-08 12:27:40"
527204,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profile] creation of function to generate a class to manage QualifiedNames of given an input Profile","2017-11-13 10:01:21"
528142,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Weird references for local profiles applied via the New Papayrus Model wizard","2017-12-05 04:57:38"
529364,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Color attributes for Richtext not working on OSX","2018-01-03 05:07:23"
529478,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[State Machine Diagram] Diagram update","2018-01-06 11:37:21"
530946,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Property View] Setting multiplicity lower bound - strange update behavior in the Model Explorer","2018-02-09 10:15:15"
532064,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[AFViewpoints] Bad architecture context on sub-model when using control mode","2018-05-04 05:26:49"
532103,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[CopyPaste] Erroneous copy of association when copying a package","2018-03-07 05:21:50"
532168,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ControlledResourceTracker throws NPE upon Rollback","2018-03-08 07:54:03"
532323,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ShardResourceHelper throws NPE","2018-03-12 07:49:30"
532915,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","DSL/DSML customization","2018-03-29 14:38:36"
533321,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Comment editor does not scale vertically","2018-04-06 11:20:28"
534251,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Import package from user model fails for some of the available model loading strategies","2018-05-03 02:25:02"
534291,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Notifications after an element in a submodel has been manually loaded is sent before the loaded element has been completely resolved","2018-05-03 01:32:37"
536406,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","I had requested update just after I started Papyrus. Papyrus showed that would have been updated, I confirmed and it failed at about 35%","2018-06-28 11:22:41"
536964,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Several issues for sequence diagram in Papyrus 4.0","2018-07-12 10:04:46"
536966,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Remove menu choices for viewpoints ""Software Analysis / Design"" from new project menu","2018-07-12 09:57:20"
537734,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","update does not find repositories","2018-08-07 03:18:11"
537736,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","insufficient validation of multiplicity property field","2018-08-06 14:49:39"
538964,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","ModelExplorer Activator throws IllegalThreadException","2018-09-12 02:28:04"
539325,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Profile] Profile migration does not occur for profile applications on models within a component","2018-09-21 08:02:25"
541749,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Diagram] The grid can not be displayed on Linux","2018-11-30 09:33:03"
542692,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","New Papyrus Model with an existing model deletes the model","2018-12-12 00:07:42"
544596,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[CSS] The css api should be refactored to allow implementation for other views","2019-02-20 04:09:12"
545885,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Any Diagram] Use of quick link handle causes Papyrus stop responding for >30 sec","2019-04-30 15:55:20"
547223,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","org.eclipse.swt.SWTException: Return value not valid (g_object_get_qdata)","2019-05-13 09:29:06"
549026,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Applying <Const> to create a T const* in C++ always yields const T*","2019-07-06 14:12:14"
549877,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Links] We should be able to link an element name string and an UML element in text field","2020-05-13 06:51:22"
553618,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","[SequenceDiagram] Double click on InteractionUse launch an exception","2021-03-12 05:09:57"
568374,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","F2 shortcut should trigger EditHelperAdvice methods","2021-02-25 09:10:34"
570771,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Papyrus framework does not call the validation callbacks of a Java static profile","2021-01-29 21:27:33"
570772,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","Papyrus profile exception when simply clicking on property with single UML::Integer type","2021-02-26 01:03:51"
462337,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Profiles] Introduce a generic mechanism to tag stereotypes that shall not be possible to apply manually","2017-09-08 09:44:12"
485220,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General][Releng] Provide a more modular architecture (& builds) for Papyrus","2017-08-07 08:59:02"
541027,"Papyrus","Core","aurelien.didier","NEW"," ---","[Remove deprecated][Refactoring] remove duplicated and deprecated classes in org.eclipse.papyrus.infra.gmfdiag.tooling.runtime","2020-12-10 08:23:32"
268779,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ModelEditor] Papyrus shall allow to automatically Close tools of unselected diagrams","2019-02-08 04:05:44"
285833,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ModelEditor] Adding tools in order to connect an editor to the Papyrus environment","2018-12-21 04:07:59"
290937,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[CDO] Papyrus shall support CDO for persisting more scalable models","2017-09-08 09:59:43"
290939,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","Investigate use of RESTful resources API from e4","2017-09-08 09:55:37"
290941,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","Investigate support for EMF binary resource implementation","2017-09-08 09:57:49"
290943,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Usability] Papyus shall investigate introduction of custom widgets to improve its usability.","2017-09-08 09:51:22"
293145,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Validation] Support to automatically validate the model when saving","2017-09-08 09:56:32"
293767,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] DiResourceSet assumes the names of some resources","2017-09-08 09:44:34"
297833,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All Diagrams] Bad stereotype property representation when displayed with braces","2017-09-08 09:49:26"
302555,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[AllDiagram][AllLinks]DragAndDrop Link after closing Papyrus","2017-09-08 09:51:31"
306808,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Palettes] Bug in the setting value for properties typed by a stereotype","2017-09-08 09:58:40"
307055,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[GMF][CommonDiagram][Workbench] Inconsistent measures","2017-08-07 09:16:24"
307084,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Workbench][Usability] Enhancements needed","2017-09-08 09:59:13"
307849,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ClassDiagram] Cumbersome tree notation","2017-09-08 09:45:53"
307852,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Appearance] Streamlined behavior needed","2017-09-08 09:46:46"
