"Bug ID","Product","Component","Assignee","Status","Resolution","Changed","Summary",,
487026,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-02-02 11:43:03","IPapyrusListener / org.eclipse.papyrus.infra.core.modelListener not notified by di or notation model",,
487489,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2020-04-09 09:56:03"," [Facet] Dependency relationships in Model Explorer should be nested to aid readability (Simple UML Facet)",Model Explorer,Facet,
487815,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-01 08:27:11"," new pom architecture",releng,
488457,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-02-25 07:27:05"," Transfer values when changing stereotypeapplication within same inheritance hierarchy",Feature,
489506,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 13:21:12"," Application of Stereotype having multiple extensions with isRequired=true fails validation",UMLValidation,
489542,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-03-14 09:32:23","RuntimeException below PackageExplorerContentProvider$4.run",,
489701,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-09-14 07:17:05"," Validation for wrong extension multiplicity",ProfileDiagram,UMLValidation,
490568,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-04-07 07:24:59"," problem of compilation of oep.def promotion of developer features",developer,
492126,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-05-04 17:29:22"," Papyrus IModel.save() should offer possibility to pass in an IProgressMonitor",CDO,
493344,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-09-27 09:21:28"," Problem with stereotype property (tagged value) from imported package",Profiles,
493417,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-05-11 08:05:18"," Missing check on the thread UI before executing property changes",ALL DIAGRAMS,
496169,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-06-15 08:06:22","Cannot reorient the endpoint of a Dependency not owned by a package.",,
506054,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-10-17 04:31:01","ClassCastException in PapyrusContentProvider$2.run",,
506413,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-06-20 10:16:12","NullPointerException below DelegatingObservable.fireEvent (thrown in DecoratingObservableValue.setValue)",,
506750,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-11-15 04:33:48","NamedElement element names shall be configurable",,
507588,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 09:02:58"," refactor the Papyrus menus and popups",Usability,Workbench,
509201,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2016-12-14 03:55:34"," [releng] The jarsigner dependency should only be resolved when the profile is activated",papyrus,releng,
509398,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-03 05:16:42"," Custom Palette - could not find entry createCombinedFragmentTool",Palettes,
509437,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:38:07"," NPE in property dialog for setting stereotype's attributes",UMLPropertiesView,
509556,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-02 13:11:18"," OCL Console statement w/ select( oclIsKindOf(xx) ) causes NPE and UnsupportedOperationException if Package contains Enumeration elements.",OCL,
509906,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-04 03:02:07","PAGE_LIST is deprecated",quality,
509957,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-05 04:07:30"," refactoring newchild menu",NewChild,userxp,
510324,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-11 16:53:46","StereotypeElementListener fails to deliver undoRedoNotifications on rollback",,
510584,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-01-17 09:50:26"," problem of management in target platform",releng,
511305,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 11:34:36"," wrong default value generated in ecore model for LiteralUnlimitedNatural",Profiles,
512139,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2017-08-07 10:36:29"," Multiple Inheritance in UML Profile",Profiles,
516241,"Papyrus","Core","mdt-papyrus-inbox","UNCONFIRMED"," ---","2018-06-01 09:41:17","Guava :java.lang.NoSuchMethodError",,
